Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,SAIF Partners,Series A,"33,00,000",3300000,Mumbai
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,TIW Private Equity,Private Equity Round,"60,00,000",6000000,Mumbai
39,2019-09-04,3rdFlix,SaaS,Education Technology,Exfinity Venture Partners,pre-series A,"50,00,000",5000000,Hyderabad
40,2019-09-04,75F,IoT,Building automation system,Breakthrough Energy Ventures,Series A,"1,80,00,000",18000000,Burnsville
41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Endiya Partners,Seed,"10,00,000",1000000,Bengaluru
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",A91 Partners,Series A,"1,00,00,000",10000000,Mumbai
43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",450000000,Menlo Park
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,"India Quotient, Axilor Ventures",Series A,"50,00,000",5000000,Bengaluru
45,2019-08-01,CarDekho,E-Commerce,Automotive,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",20000000,Gurgaon
46,2019-08-01,Progcap,Finance,Supply Chain Management,Sequoia India,Series A,"50,00,000",5000000,New Delhi
48,2019-08-01,Alteria Capital,Finance,VC Funds,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",140000000,Mumbai
49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",38080000,Noida
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Naspers,Series D,"12,50,00,000",125000000,Bengaluru
51,2019-08-13,Cars24,E-Commerce,Car Retail,MS Dhoni,Series D,"1,10,00,000",11000000,Gurgaon
52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,March Capital Partners,Series C,"5,10,00,000",51000000,Palo Alto
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,XL Innovate,Series B,"3,70,00,000",37000000,San Francisco
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000",500000,Bengaluru
55,2019-08-23,Tala,FinTech,Digital Lending Platform,RPS Ventures,Series D,"11,00,00,000",110000000,Santa Monica
56,2019-08-22,INDwealth,FinTech,Wealth Management,Tiger Global Management,Venture Round,"1,50,00,000",15000000,Gurgaon
57,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,One97 Communications Ltd.,Series C,"65,90,000",6590000,Bengaluru
58,2019-08-23,AdmitKard,EdTech,University Admissions,Growth DNA,Seed Round,"10,00,000",1000000,Noida
59,2019-08-19,Mishry Reviews,Services,Product Review,Vir Sanghvi,Series A,Undisclosed,Undisclosed,Gurgaon
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Softbank Vision Fund,Series F,"7,00,00,000",70000000,Gurgaon
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Westbridge Capital,Series B,"3,90,00,00,000",3900000000,Bengaluru
62,2019-07-02,RenewBuy,Finance,Auto Insurance,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",19000000,Gurgaon
63,2019-07-02,Atlan,Information Technology,Big Data,WaterBridge Ventures,Pre-Series A,"25,00,000",2500000,Singapore
64,2019-07-01,WizCounsel,Compliance,Consulting,Kapil Dev,Angel,"1,45,000",145000,New Delhi
65,2019-07-03,Ola Cabs,Transport,Cabs,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",1000000,Kormangala
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,March Capital Partners,Series C,"3,80,80,000",38080000,Taramani
67,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,Artha Venture,Seed Round,"5,00,000",500000,New Delhi
68,2019-07-10,"""BYJU\\'S""",EdTech,Education,Qatar Investment Authority,Private Equity Round,"15,00,00,000",150000000,Bengaluru
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",60000000,Singapore
70,2019-07-10,Ezyhaul,Tech,Logistics,Undisclosed,Series B,"1,60,00,000",16000000,Singapore
71,2019-07-10,Indus OS,Tech,Smartphone Operating System,Ventureast,Series B,"57,50,000",5750000,Andheri
72,2019-07-10,HealthAssure,Health Care,Primary care medical network,Blume Ventures,Series A,"25,00,000",2500000,Mumbai
73,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Binny Bansal,Series A,"10,00,000",1000000,Mumbai
74,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Multiple Angel Investors,Angel Round,"3,19,605",319605,Chembur
75,2019-06-05,NoBroker,E-Commerce,Real Estate,General Atlantic,Series C,"5,10,00,000",51000000,Bengaluru
76,2019-06-04,Bira91,Food and Beverage,Brewery,Anicut Capital,Debt Funding,"1,00,00,000",10000000,New Delhi
78,2019-06-03,Avail Finance,Finance,FinTech,Matrix Partners,Series A,"90,00,000",9000000,Bengaluru
79,2019-06-04,BharatPe,Finance,FinTech,Insight Partners,Series B,"7,50,00,000",75000000,New Delhi
80,2019-06-04,Recykal,Waste Management Service,Optimization,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",26000000,Hyderabad
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Blume Ventures and RTP Global,pre-Series A,"25,00,000",2500000,Bengaluru
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,IAN Fund,Series A,"2,60,00,000",26000000,New Delhi
84,2019-06-06,Pratilipi,Digital Media,E-Books,Qiming Venture Partners,Series B,"1,51,09,500.00",15109500.00,Bengaluru
85,2019-06-10,Bolo App,Digital Media,Video Platform,Nexus Venture Partners,Seed Funding,"4,30,200",430200,Bengaluru
86,2019-06-10,OkCredit,FinTech,Financial Services,Tiger Global Management,Series A,"1,55,00,000",15500000,Haryana
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,WestBridge Capital,Series B,"5,20,00,000",52000000,New York
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Alteria Capital,Debt Funding,"35,84,000",3584000,Karnataka
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai Angels,Series A,"34,00,000",3400000,Mumbai/Bengaluru
90,2019-05-06,Ola Electric,Transport,Cabs,Tata Sons,Series A,undisclosed,undisclosed,Bengaluru
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,C4D Partners,Venture - Series Unknown,"8,68,600",868600,Bengaluru
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed,undisclosed,New Delhi
93,2019-05-01,BlackBuck,Transport,Logistics,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",150000000,Bengaluru
94,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Tiger Global Management,Series C,"5,00,00,000",50000000,Hyderabad
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Sachin Bansal,Series C,"5,10,00,000",51000000,Bengaluru
96,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Equanimity Ventures,Seed Round,"14,00,00,000",140000000,Mumbai
97,2019-05-30,GlowRoad,E-commerce,Retail,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",11500000,Bengaluru
98,2019-05-31,Bira91,Food and Beverage,Brewery,Sixth Sense Ventures,Series B,"56,00,000",5600000,New Delhi
99,2019-04-16,Kuvera,Finance,Wealth Management,Eight Roads,Series A,"4,50,00,000",45000000,Bengaluru
100,2019-04-12,Medlife,E-commerce,Online Medicine,Prasid Uno Family Trust,Private Equity,"1,70,00,000",17000000,Bengaluru
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665",430665,Bhopal
102,2019-04-13,Tripoto,Social Media,Travel,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",3591375,New Delhi
103,2019-04-12,Azah,Health and Wellness,Organic wellness,Unnamed angel investors,Seed Funding,"2,00,000",200000,Gurgaon
104,2019-04-11,Setu,Fintech,Banking,Lightspeed India Partners,Seed Funding,"35,00,000",3500000,Bengaluru
105,2019-04-10,Toppr,Edtech,E-learning,Milestone,Debt and Preference capital,"63,20,820",6320820,Mumbai
106,2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Supera Pte Ltd,Inhouse Funding,"24,43,495",2443495,Mumbai
107,2019-04-10,Unacademy,Edtech,E-learning,Kalyan Krishnamurthy,Seed/ Angel Funding,"3,07,000",307000,Bengaluru
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000",26000000,Mumbai
109,2019-04-19,My Healthcare,E-commerce,Software Solutions,Sixth Sense Ventures,Series A,"30,00,000",3000000,Bengaluru and Gurugram
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",14342000+,Bengaluru
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,New Atlantic Ventures,Venture Round,"50,00,000",5000000,Gurgaon
112,2019-04-17,Increff,Technology,Supply-chain technology solutions,"021 Capita, Binny Bansal",Series A,"30,00,000",3000000,Bengaluru
113,2019-02-01,FleetX,AI,Logistics,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Undisclosed,Undisclosed,Gurgaon
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",226000000,India/Singapore
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",600000,New Delhi
116,2018-02-14,OyoRooms,Hospitality,Budget Rooms,DiDi Chuxing,Equity,"10,00,00,000",100000000,Gurgaon
117,2019-01-03,CarDekho,Automobile,Online Marketplace,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",110000000,Jaipur
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",22000000,India/US
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000",5000000,Chennai
120,2018-12-04,Manch,Social Media,Hyperlocal Content,Stellaris Venture Partners,Seed Funding,"7,00,000",700000,New Delhi
121,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",50000000,New Delhi
122,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Individual Investors,Pre-Series A,"8,00,000",800000,Mumbai
123,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Individual Investors,Pre-Series A,"5,72,000",572000,Gurgaon
124,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Omphalos Ventures India LLP,Seed Funding,"1,43,000",143000,Nagpur
125,2018-12-06,ShopKirana,B2B,eCommerce,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",2000000,Indore
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP","Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000",3500000,Gurgaon
127,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Lead Angels Network,Seed/ Angel Funding,"1,38,995",138995,Bengaluru
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",27799000,Chennai
129,2018-11-06,Meesho,Ecommerce,Social Commerce,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",50000000,Bengaluru
130,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Undisclosed,Series A,"5,00,000",500000,Bengaluru
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,"RB Investments, Singapore",Equity,"10,00,000",1000000,Jaipur
132,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,Tiger Global,Series A,"10,00,000",1000000,"New York, Bengaluru"
133,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,Mayfield Fund,Series B,"13,00,000",1300000,New Delhi
134,2018-11-13,DriveU,Transport,On-Demand Drivers,Stevens Creek Ventures,Mezzanine,"10,00,000",1000000,Bengaluru
135,2018-11-14,CleanseCar,Services,Car Wash,Venture Catalysts,Seed/ Angel Funding,"5,00,000",500000,Bengaluru
136,2018-11-19,Automation Anywhere,Automation,Robotics,SoftBank Vision Fund,Series B,"30,00,00,000",300000000,California
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"60,00,000",6000000,Bengaluru
138,2018-11-21,Genius Corner,Education,Personalized Learning,Individual investors,Seed Funding,"2,78,000",278000,Noida
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"3,10,00,000",31000000,Mumbai
140,2018-11-22,Skillbox,Social Network,Art,Individual investors,Seed Funding,Undisclosed,Undisclosed,Gurgaon
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000",3400000,Mumbai/Bengaluru
142,2018-11-24,Engineer.ai,Software,AI Platform,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,"2,95,00,000",29500000,India/US
143,2018-11-25,InCred Finance,Finance,SME Lending,"Paragon Partners, Individual Investors",Private Equity,"4,20,00,000",42000000,India
144,2018-11-25,Roposo,Social Media,Video Sharing,Bertelsmann India Investments,Series B,"17,00,000",1700000,New Delhi
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,"1,10,00,000",11000000,Hyderabad
147,2018-10-04,Grover Zampa,Food,Wine,Ravi Viswanathan,Private Equity,"82,00,000",8200000,Mumbai
148,2018-10-05,Droom,Automobile,New and Used Cars Platform,ZigExN,Series E,"30,00,000",3000000,Gurgaon
149,2018-10-11,Innov8,Real Estate,Co-Working,Credence Family Office,Pre-Series A,"40,00,000",4000000,New Delhi
150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Sequoia Capital India,Private Funding,"1,46,80,000",14680000,Bengaluru
151,2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Fosun International,Series C,"1,20,00,000",12000000,Bengaluru
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"3,50,00,000",35000000,Chennai
153,2018-09-03,Udaan,B2B Platform,Logistics and Shipping,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,"22,50,00,000",225000000,Bengaluru
154,2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Falcon Edge,Private Equity,"63,90,000",6390000,Bengaluru
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Lighthouse,Private Equity,"15,72,00,000",157200000,Mumbai
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,"10,00,00,000",100000000,Mumbai
160,2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Stellaris Ventures & Others,Private Equity,"40,00,000",4000000,Gurgaon
161,2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,"3,20,00,000",32000000,Bengaluru
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,InnoVen Capital,Debt Funding,"55,00,000",5500000,Mumbai
163,2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,"50,00,000",5000000,Mumbai
164,2018-09-12,Kissht,Fin-Tech,Online lending Platform,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,"3,00,00,000",30000000,Mumbai
165,2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,"4,00,000",400000,Bengaluru
167,2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Xiaomi and Sequoia Capital India,Private Equity,"70,00,000",7000000,Hyderabad
168,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Y Combinator,Private Equity,"1,20,000",120000,Gurgaon
170,2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Fung Strategic Holdings,Private Equity,"3,50,00,000",35000000,Bengaluru
171,2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,MakeMyTrip Limited,Private Equity,"1,00,00,000",10000000,Gurgaon
172,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Vertex Ventures,Seed/ Angel Funding,"40,00,000",4000000,Bengaluru
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,"1,22,00,000",12200000,Bengaluru
174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Flipkart,Private Equity,"6,60,00,000",66000000,Bengaluru
175,2018-08-09,quizizz,Ed-Tech,e-learning Platform,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,"30,00,000",3000000,Bengaluru
176,2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,"10,00,000",1000000,Bengaluru
177,2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,"40,00,000",4000000,Chennai
178,2018-08-13,Observe AI,Technology,AI Based Solutions Platform,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,"80,00,000",8000000,Bengaluru
180,2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Denlow Investment Trust and Beenext,Private Equity,"58,50,000",5850000,Gurgaon
182,2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Alteria Capital,Debt Funding,"48,00,000",4800000,Mumbai
183,2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,CDC Group plc\\xc2\\xa0,Private Equity,"60,00,000",6000000,Bengaluru
184,2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,"1,42,70,000",14270000,Gurgaon
185,2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,"1,34,00,000",13400000,Bengaluru
186,2018-08-26,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,"42,00,000",4200000,Bengaluru
