Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,RB Investments,Venture,undisclosed,undisclosed,Gurgaon
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",12000000,Gurgaon
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",26000000,Bengaluru
24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,FinTech,Debt Funding,"1,74,11,265",17411265,Gurgaon
25,2019-11-12,SuperGaming,Video Games,Social gaming platform,Dream Incubator,Seed Funding,"13,00,000",1300000,Pune
26,2019-11-20,Clumio,SaaS,Recovery software,"Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",135000000,"San Jose,"
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Startup Buddy,Seed,"3,00,000",300000,Amritsar
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Amour Infrastructure,Seed Funding,"22,00,00,000",220000000,New Delhi
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",15800000,Mumbai
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",283000000,Kormangala
32,2019-11-25,Paytm,FinTech,Mobile Wallet,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",1000000000,Noida
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Lightbox,Series D,"4,50,00,000",45000000,Bengaluru
34,2019-10-02,Udaan,B2B,Business development,"Altimeter Capital, DST Global",Series D,"58,50,00,000",585000000,Bengaluru
35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Ayushmann Khurana,Corporate Round,unknown,unknown,Gurgaon
36,2019-09-05,FPL Technologies,FinTech,Financial Services,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",4500000,Pune
